epNum	episode	rating	ratingNum
7.18 	Karma	7.9	1,260
7.19 	The Broath	8.6	1,588
7.20 	Trilogy Time	8.5	1,452
7.21 	Now We're Even	8	1,217
7.22 	Good Crazy	7.7	1,164
7.23 	The Magician's Code: Part 1	8.5	1,525
7.24 	The Magician's Code: Part 2	8.8	1,827
8.1 	Farhampton	8.5	2,824
8.2 	The Pre-Nup	7.3	1,588
8.3 	Nannies	7.3	1,406
8.4 	Who Wants to Be a Godparent	7.4	1,437
8.5 	The Autumn of Breakups	7.3	1,452
8.6 	Splitsville	7.4	1,269
8.7 	The Stamp Tramp	7.3	1,215
8.8 	Twelve Horny Women	7.4	1,250
8.9 	Lobster Crawl	7.4	1,250
8.10 	The Over-Correction	7.9	1,258
8.11 	The Final Page: Part One	8.5	1,705
8.12 	The Final Page: Part Two	9.3	3,010
8.13 	Band or DJ?	7.8	1,378
8.14 	Ring Up!	7.9	1,397
8.15 	P.S. I Love You	8.2	1,683
8.16 	Bad Crazy	7.5	1,217
8.17 	The Ashtray	7.7	1,190
8.18 	Weekend at Barney's	8	1,349
8.19 	The Fortress	7.8	1,196
8.20 	The Time Travelers	8	1,959
8.21 	Romeward Bound	7.3	1,174
8.22 	The Bro Mitzvah	8.6	1,632
8.23 	Something Old	7.4	1,321
8.24 	Something New	8.7	2,086
9.1 	The Locket	7.8	2,045
9.2 	Coming Back	7.7	1,666
9.3 	Last Time in New York	7.5	1,547
9.4 	The Broken Code	7.2	1,447
9.5 	The Poker Game	7.1	1,406
9.6 	Knight Vision	7.4	1,388
9.7 	No Questions Asked	7.1	1,415
9.8 	The Lighthouse	7.2	1,446
9.9 	Platonish	8.3	1,757
9.10 	Mom and Dad	6.5	1,522
9.11 	Bedtime Stories	5.5	2,574
9.12 	The Rehearsal Dinner	7.6	1,575
9.13 	Bass Player Wanted	8.2	1,699
9.14 	Slapsgiving 3: Slappointment in Slapmarra	5.5	2,820
9.15 	Unpause	8.4	1,776
9.16 	How Your Mother Met Me	9.5	4,935
9.17 	Sunrise	8.1	1,792
9.18 	Rally	8	1,413
9.19 	Vesuvius	7.6	1,429
9.20 	Daisy	8.4	1,602
9.21 	Gary Blauman	8.3	1,686
9.22 	The End of the Aisle	8.9	2,233
9.23 	Last Forever: Part One	6.9	5,991
9.24 	Last Forever: Part Two	5.7	10,138
