epNum	episode	rating	ratingNum
9.4 	Flight	7.9	73
9.5 	Agony	7.9	82
9.6 	Scrambled	7.6	77
9.7 	Venom	7.7	81
9.8 	Punk	7.8	87
9.9 	True North	7.5	83
9.10 	Hate	7.8	80
9.11 	Ramparts	8	79
9.12 	Haven	7.6	74
9.13 	Hunters	7.8	76
9.14 	Sideshow	7.9	69
9.15 	Disciple	7.6	79
9.16 	Harm	7.8	72
9.17 	Shield	7.5	69
9.18 	Juvenile	7.8	74
9.19 	Tabula Rasa	8.1	87
9.20 	Empire	7.8	113
9.21 	Ambitious	7.6	73
9.22 	Admissions	7.5	77
9.23 	Refuge	8.3	98
9.24 	Refuge	8.5	93
10.1 	Gunshow	7.8	97
10.2 	Killerz	8.1	125
10.3 	DNR	8	80
10.4 	Merger	8	93
10.5 	Justice	8	80
10.6 	Marathon	8.1	100
10.7 	Patsy	8.1	95
10.8 	Blood Money	7.9	93
10.9 	Sundown	7.6	79
10.10 	Loco Parentis	7.9	95
10.11 	Collision	7.4	68
10.12 	Mother's Milk	7.5	82
10.13 	Panic	7.3	82
10.14 	Entitled: Part 2	7.8	85
10.15 	Fools for Love	8.3	104
10.16 	Trade This	7.7	72
10.17 	Black, White and Blue	7.8	75
10.18 	Mega	7.6	79
10.19 	Surrender Dorothy	7.3	74
10.20 	Untitled	7.5	68
10.21 	Narcosis	7.6	64
10.22 	High & Low	7.7	77
10.23 	Stiff	7.6	74
10.24 	Vaya Con Dios	8	85
11.1 	Endurance	8.1	77
11.2 	Turnstile Justice	7.5	74
11.3 	Dissonance	7.7	69
11.4 	Standoff	8	63
11.5 	Return	7.4	75
11.6 	Burn Baby Burn	8	76
11.7 	Amends	7.7	72
11.8 	Thin Ice	7.5	80
11.9 	Hubris	8.2	89
11.10 	Whose Monkey Is It Anyway?	7.2	76
11.11 	Sunday in the Park with Jorge	7.3	65
11.12 	Teenage Wasteland	8	89
11.13 	Phobia	7.8	72
11.14 	A Losing Season	7.4	72
11.15 	Swept Away - A Very Special Episode	7.5	74
11.16 	Bronx Cheer	7.9	75
11.17 	Ego	7.6	66
11.18 	White Lie	7.2	68
11.19 	Whiplash	7.6	68
11.20 	All My Children	7.5	69
11.21 	Brother's Keeper	8.1	82
11.22 	School Daze	8	75
11.23 	Judge Dread	7.6	72
11.24 	Deep Vote	7.9	69
12.1 	Who Let the Dogs Out?	8	94
12.2 	Armed Forces	7.6	74
12.3 	For Love or Money	7.8	78
12.4 	Soldier of Fortune	7.3	65
12.5 	Possession	7.5	70
12.6 	Formerly Famous	7.2	66
12.7 	Myth of Fingerprints	8	79
12.8 	The Fire This Time	7.2	69
12.9 	3 Dawg Night	7.4	71
12.10 	Prejudice	7.5	67
12.11 	The Collar	7.2	65
12.12 	Undercovered	7.3	60
12.13 	DR 1-102	7.9	77
12.14 	Missing	7.5	68
12.15 	Access Nation	7.9	67
12.16 	Born Again	7.4	70
12.17 	Girl Most Likely	7.4	74
12.18 	Equal Rights	7.1	59
12.19 	Slaughter	7.2	69
12.20 	Dazzled	7.6	75
12.21 	Foul Play	6.9	59
12.22 	Attorney Client	7.5	70
12.23 	Oxymoron	7.5	67
12.24 	Patriot	7.5	67
13.1 	American Jihad	7.4	74
13.2 	Shangri-La	8.1	89
13.3 	True Crime	7.5	70
13.4 	Tragedy on Rye	8	74
13.5 	The Ring	8	75
13.6 	Hitman	8	72
13.7 	Open Season	8.2	80
13.8 	Asterisk	7.6	69
13.9 	The Wheel	7.3	64
13.10 	Mother's Day	7.7	69
13.11 	Chosen	7.7	75
13.12 	Under God	7.7	70
13.13 	Absentia	7.7	70
13.14 	Star Crossed	8	73
13.15 	B*tch	7.8	64
13.16 	Suicide Box	7.9	85
13.17 	Genius	7.7	69
13.18 	Maritime	7.4	66
13.19 	Seer	7.7	78
13.20 	Kid Pro Quo	7.9	81
13.21 	House Calls	7.9	70
13.22 	Sheltered	8.3	91
13.23 	Couples	8.6	98
13.24 	Smoke	8.1	74
14.1 	Bodies	8.5	103
14.2 	Bounty	7.5	59
14.3 	Patient Zero	7.4	65
14.4 	Shrunk	7.4	67
14.5 	Blaze	7.4	67
14.6 	Identity	8.2	86
14.7 	Floater	7.6	67
14.8 	Embedded	7.2	63
14.9 	Compassion	7.7	62
14.10 	Ill-Conceived	7.2	64
14.11 	Darwinian	7.7	60
14.12 	Payback	7.4	61
14.13 	Married with Children	7.6	58
14.14 	City Hall	7.6	58
14.15 	Veteran's Day	7.4	62
14.16 	Can I Get a Witness?	7.8	59
14.17 	Hands Free	7.8	64
14.18 	Evil Breeds	7.6	58
14.19 	Nowhere Man	7.8	70
14.20 	Everybody Loves Raimondo's	7.5	68
14.21 	Vendetta	7.3	56
14.22 	Gaijin	7.7	61
14.23 	Caviar Emptor	7.2	61
14.24 	C.O.D.	8	76
15.1 	Paradigm	7.4	57
15.2 	The Dead Wives Club	8	73
15.3 	The Brotherhood	7.9	73
15.4 	Coming Down Hard	7.8	59
15.5 	Gunplay	7.8	65
15.6 	Cut	7.6	56
15.7 	Gov Love	7.9	59
15.8 	Cry Wolf	7.2	59
15.9 	All in the Family	7.3	59
15.10 	Enemy	7.6	57
15.11 	Fixed	7.5	63
15.12 	Mammon	7.7	47
15.13 	Ain't No Love	8.1	82
15.14 	Fluency	8.1	62
15.15 	Obsession	7.7	52
15.16 	The Sixth Man	7.6	57
15.17 	License to Kill	8.1	61
15.18 	Dining Out	7.5	63
15.19 	Sects	7.6	63
15.20 	Tombstone	8.2	66
15.21 	Publish and Perish	8	62
15.22 	Sport of Kings	8	61
15.23 	In God We Trust	7.8	56
15.24 	Locomotion	7.4	68
16.1 	Red Ball	8.3	81
16.2 	Flaw	8	88
16.3 	Ghosts	7.7	58
16.4 	Age of Innocence	7.1	49
16.5 	Life Line	7.7	62
16.6 	Birthright	7.9	65
16.7 	House of Cards	7.3	52
16.8 	New York Minute	7.7	48
16.9 	Criminal Law	8.3	71
16.10 	Acid	8.2	63
16.11 	Bible Story	7.6	64
16.12 	Family Friend	7.5	59
16.13 	Heart of Darkness	7.8	57
16.14 	Magnet	7.7	59
16.15 	Choice of Evils	7.7	58
16.16 	Cost of Capital	7.9	58
16.17 	America, Inc.	7.1	55
16.18 	Thinking Makes It So	8	65
16.19 	Positive	7.1	61
16.20 	Kingmaker	7.5	62
16.21 	Hindsight	7.8	72
16.22 	Invaders	8.2	119
17.1 	Fame	7.3	86
17.2 	Avatar	8.1	87
17.3 	Home Sweet	7.8	68
17.4 	Fear America	7.7	82
17.5 	Public Service Homicide	7.4	73
17.6 	Profiteer	7.6	61
17.7 	In Vino Veritas	7.7	106
17.8 	Release	7.4	82
17.9 	Deadlock	8.2	94
17.10 	Corner Office	7.3	77
17.11 	Remains of the Day	7.5	62
17.12 	Charity Case	8	88
17.13 	Talking Points	7.5	78
17.14 	Church	7.6	88
17.15 	Melting Pot	7	66
17.16 	Murder Book	7.6	66
17.17 	Good Faith	7.4	80
17.18 	Bling	7.4	72
17.19 	Fallout	7.8	65
17.20 	Captive	8	78
17.21 	Over Here	7.5	61
17.22 	The Family Hour	8	85
18.1 	Called Home	7.7	102
18.2 	Darkness	7.6	82
18.3 	Misbegotten	7.5	72
18.4 	Bottomless	7.7	72
18.5 	Driven	8.1	87
18.6 	Political Animal	7.8	72
18.7 	Quit Claim	7.8	77
18.8 	Illegal	7.9	83
18.9 	Executioner	7.8	83
18.10 	Tango	7.9	90
18.11 	Betrayal	7.7	79
18.12 	Submission	8	73
18.13 	Angelgrove	7.7	91
18.14 	Burn Card	8.2	100
18.15 	Bogeyman	7.5	70
18.16 	Strike	8	73
18.17 	Personae Non Grata	7.8	71
18.18 	Excalibur	8.2	73
19.1 	Rumble	8.2	74
19.2 	Challenged	7.9	69
19.3 	Lost Boys	7.9	88
19.4 	Falling	8.1	91
19.5 	Knock Off	8.1	75
19.6 	Sweetie	7.8	85
19.7 	Zero	8.1	78
19.8 	Chattel	8	71
19.9 	By Perjury	8.2	81
19.10 	Pledge	8.1	76
19.11 	Lucky Stiff	7.7	65
19.12 	Illegitimate	7.7	72
19.13 	Crimebusters	7.6	64
19.14 	Rapture	7.5	67
19.15 	Bailout	7.5	57
19.16 	Take-Out	7.6	63
19.17 	Anchors Away	8	76
19.18 	Promote This!	7.2	58
19.19 	All New	7.7	53
19.20 	Exchange	7.5	53
19.21 	Skate or Die	8.2	69
19.22 	The Drowned and the Saved	8.2	75
20.1 	Memo from the Dark Side	7.8	104
20.2 	Just a Girl in the World	8	85
20.3 	Great Satan	7.7	115
20.4 	Reality Bites	7.5	69
20.5 	Dignity	7.7	75
20.6 	Human Flesh Search Engine	8.1	73
20.7 	Boy Gone Astray	7.6	81
20.8 	Doped	7.8	77
20.9 	For the Defense	8.4	83
20.10 	Shotgun	7.9	68
20.11 	Fed	7.8	79
20.12 	Blackmail	7.2	70
20.13 	Steel-Eyed Death	7.8	76
20.14 	Boy on Fire	7.7	73
20.15 	Brilliant Disguise	7.9	70
20.16 	Innocence	8.3	88
20.17 	Four Cops Shot	8	61
20.18 	Brazil	7.1	67
20.19 	Crashers	7.8	64
20.20 	The Taxman Cometh	8	62
20.21 	Immortal	8.1	68
20.22 	Love Eternal	7.6	66
20.23 	Rubber Room	8.5	131
